id,nome,Cidade,cep,bairro,latitude,longitude,mac,tipo
98,MICHELE WRIGHT,Francisco Beltrão,85501000,Comunidade Assentamento Missões,-26.196188018752053,-52.6751198369168,3a:1b:28:2e:82:eb,radio
106,JASMINE COLLINS,Francisco Beltrão,85601000,COMUNIDADE ASSENTAMENTO MISSOES,-26.007357439057166,-53.07828904181369,32:09:c4:a3:12:0a,radio
119,ASHLEY SHANNON DVM,Francisco Beltrão,85601000,COMUNIDADE SAO JOAO,-26.089081931178228,-53.10992346644369,3a:1b:28:2e:82:eb,radio
141,NATALIE NELSON,Pato Branco,85601000,Parque do Som,-26.05034737068558,-52.98973028034725,b4:b5:4b:94:69:99,radio
142,DALE CRUZ,Francisco Beltrão,85601000,BAIRRO SAO CRISTOVAO,-26.086849645012915,-53.06525321539863,fc:4e:95:59:92:36,radio
143,MARIA HAYES,Francisco Beltrão,85601000,COMUNIDADE SAO JOAO,-26.09118807822248,-53.1093306272332,32:09:c4:a3:12:0a,radio
145,SEAN BARRY,Pato Branco,85601000,Menino Deus,-26.08177029073025,-53.00007968492406,b0:3b:8c:fd:71:06,radio
152,DONALD EDWARDS,Pato Branco,85601000,Centro,-26.083349538403603,-52.99714785175336,b0:3b:8c:fd:71:06,radio
155,SCOTT LEE,Pato Branco,85660000,Planalto,-26.07508988115447,-53.05680822972098,b4:b5:4b:94:69:99,radio
157,HECTOR HOWE,Pato Branco,85660000,Pinheirinho,-26.02896849322409,-53.05270366722224,e4:c5:4b:e2:ee:b7,radio
161,JUSTIN DAVIS,Francisco Beltrão,85660000,SAO FRANCISCO DE ASSIS,-26.07890940721002,-53.06136658370079,0c:94:1d:cc:e7:a3,radio
168,RYAN GLASS,Francisco Beltrão,85660000,Bairro Padre Ulrico,-26.19386049583373,-52.67216554549732,fc:4e:95:59:92:36,radio
171,MELISSA BAKER,Francisco Beltrão,85660000,CENTRO NORTE,-26.028615568504648,-53.032603305460505,52:3b:ef:21:34:57,radio
173,JAMES MCLAUGHLIN,Francisco Beltrão,85601000,COMUNIDADE SANTA BARBARA,-26.09765616139287,-53.09937592345894,0c:94:1d:cc:e7:a3,radio
177,ERIC WILSON,Pato Branco,85660000,AMADORI,-26.233151389727333,-52.69158020681969,b0:3b:8c:fd:71:06,radio
181,SAMANTHA TAYLOR,Pato Branco,85601000,Pinheirinho,-26.107418871367617,-53.04974622990223,fc:07:d7:85:dd:5d,radio
192,CARLOS BARNES,Francisco Beltrão,85601000,COMUNIDADE SAO FRANCISCO DE ASSIS,-26.04123189193904,-53.09112872564976,52:3b:ef:21:34:57,radio
194,AARON BYRD,Francisco Beltrão,85601000,COMUNIDADE VILA LOBOS,-26.02722815057096,-52.97421119904013,3a:1b:28:2e:82:eb,radio
200,BRITTANY MATHEWS,Dois Vizinhos,85601000,Centro,-26.009386091393424,-53.08121389193583,ea:7f:5a:9d:5e:87,radio
203,ANGEL JOHNSON,Dois Vizinhos,85660000,Centro Sul,-26.07143784188511,-53.05080521420254,ea:7f:5a:9d:5e:87,radio
209,LINDSAY DAVIS,Francisco Beltrão,85601000,COMUNIDADE LINHA FORMIGA,-26.11750236597281,-53.08472443683485,52:3b:ef:21:34:57,radio
214,PETER HAYES,Pato Branco,85601000,Jardim Floresta,-26.11272318816073,-53.05433209561063,b0:3b:8c:fd:71:06,radio
217,DONALD BOYD,Dois Vizinhos,85660000,Alto da Colina,-26.087355567604337,-53.070382429824015,5c:c4:f2:ed:b1:d5,radio
223,JUSTIN PRINCE,Dois Vizinhos,85660000,Das Torres,-26.05333767639534,-53.04930250417164,d8:ee:56:11:32:9c,radio
233,HEATHER LEWIS,Dois Vizinhos,85601000,Esperança,-26.11701060093929,-53.08674561204199,14:a9:4f:77:f1:65,radio
247,CHRISTOPHER GREENE,Dois Vizinhos,85601000,Sagrada Família,-26.11222166389717,-53.05210586052401,38:9c:3d:4b:d3:ff,radio
248,JOHN MEDINA,Dois Vizinhos,85660000,Jardim Marcante,-26.06235264747257,-53.04796460221404,ea:7f:5a:9d:5e:87,radio
251,CHARLENE MAYER,Dois Vizinhos,85660000,Santa Luzia,-26.077375896361502,-53.05811749199883,5c:c4:f2:ed:b1:d5,radio
262,JOSEPH VALENZUELA MD,Pato Branco,85601000,Dall Ross,-26.09649208150688,-53.101847388820126,b4:b5:4b:94:69:99,radio
270,VIRGINIA OLSEN,Dois Vizinhos,85660000,Sagrada Família,-26.07100668518399,-53.04800037527696,5c:c4:f2:ed:b1:d5,radio
277,ANDRES SULLIVAN,Francisco Beltrão,85660000,DAS TORRES,-26.03114924436256,-53.06546814332672,8c:8a:18:f7:11:08,radio
283,LEAH JORDAN,Pato Branco,85660000,Bonatto,-26.06730997472553,-53.0540703107331,7e:ce:41:0b:d7:5a,radio
289,CLAUDIA JONES,Dois Vizinhos,85660000,São Judas Tadeu,-26.080332408336577,-53.05676959504408,5c:c4:f2:ed:b1:d5,radio
291,RUTH FLETCHER,Dois Vizinhos,85601000,Vitória,-26.06913342524091,-53.09814824592563,14:a9:4f:77:f1:65,radio
293,PHILIP KELLY,Dois Vizinhos,85601000,Das Torres,-26.04119618722837,-53.094737114624095,40:95:bc:a8:c0:56,radio
306,JENNIFER MALONE,Dois Vizinhos,85660000,Esperança,-26.06664099100365,-53.07265996217966,ea:7f:5a:9d:5e:87,radio
311,WILLIAM ROBINSON,Francisco Beltrão,85660000,JARDIM MARCANTE,-26.035152716967097,-53.03704146583878,8c:8a:18:f7:11:08,radio
315,RENEE TORRES,Francisco Beltrão,85601000,COMUNIDADE LAGEADO GRANDE,-26.036309580324943,-53.02758166677175,0c:94:1d:cc:e7:a3,radio
322,JESSICA JONES,Dois Vizinhos,85660000,Santa Luzia,-26.0456825167314,-53.04691941896126,40:95:bc:a8:c0:56,radio
328,JOHN RAMOS,Dois Vizinhos,85660000,São Francisco de Assis,-26.034139002872948,-53.03780674279017,d8:ee:56:11:32:9c,radio
329,LINDA SANCHEZ,Pato Branco,85601000,Bonatto,-26.11594623032893,-53.084181645206286,e4:c5:4b:e2:ee:b7,radio
335,KEVIN SMITH,Dois Vizinhos,85601000,Da Luz,-26.02565280055269,-53.08543368734879,ea:7f:5a:9d:5e:87,radio
337,KEVIN MILLER,Pato Branco,85601000,Industrial,-26.11784351265854,-53.083994698921984,7e:ce:41:0b:d7:5a,radio
346,CHRISTINE LOPEZ,Francisco Beltrão,85660000,JARDIM MARCANTE,-26.04663184143113,-53.0676667443075,52:3b:ef:21:34:57,radio
348,MARK MILLER,Francisco Beltrão,85660000,SAGRADA FAMILIA,-26.028806187734585,-53.055020269077126,fc:4e:95:59:92:36,radio
361,HEATHER MARTIN DDS,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.034670143113544,-53.04278018918323,0c:94:1d:cc:e7:a3,radio
370,SHANNON PENA,Francisco Beltrão,85660000,ESPERANCA,-26.08648775824993,-53.03281407369953,52:3b:ef:21:34:57,radio
371,JESSICA RODRIGUEZ,Dois Vizinhos,85601000,São Francisco Xavier,-26.11538925599698,-53.01358984010024,ea:7f:5a:9d:5e:87,radio
373,COURTNEY THOMAS,Francisco Beltrão,85660000,ALTO DA COLINA,-26.049554968622665,-53.04142077904501,0c:94:1d:cc:e7:a3,radio
378,TABITHA MASON,Pato Branco,85660000,São Francisco,-26.07947772911176,-53.0555958877021,b0:3b:8c:fd:71:06,radio
379,JOHN FOSTER,Pato Branco,85660000,São João,-26.078678686472163,-53.0578877071609,5e:43:51:d5:ac:c2,radio
383,JENNIFER ALEXANDER,Francisco Beltrão,85601000,COMUNIDADE SAO PIO X – KM 20,-26.04917086465453,-53.11800276646288,52:3b:ef:21:34:57,radio
384,SHELLY PORTER,Francisco Beltrão,85601000,COMUNIDADE ASSENTAMENTO MISSOES,-26.013365130177828,-53.07472053589783,3a:1b:28:2e:82:eb,radio
387,MARK LEVY,Francisco Beltrão,85660000,JARDIM MARCANTE,-26.03580544097948,-53.03610974027829,32:09:c4:a3:12:0a,radio
393,MADISON MOORE,Dois Vizinhos,85660000,Vitória,-26.082792222086617,-53.07526183847151,d8:ee:56:11:32:9c,radio
403,ANNETTE GRAHAM,Dois Vizinhos,85660000,São Judas Tadeu,-26.07496562482917,-53.04677372689462,ea:7f:5a:9d:5e:87,radio
404,LORI BREWER,Francisco Beltrão,85601000,COMUNIDADE SAO PIO X – KM 20,-26.04500308594769,-53.11950801819967,32:09:c4:a3:12:0a,radio
405,JOHN FREDERICK,Francisco Beltrão,85601000,COMUNIDADE SECCAO JACARE,-26.06155585094498,-53.09912176025608,0c:94:1d:cc:e7:a3,radio
409,EDWARD RICH,Pato Branco,85660000,Parque do Som,-26.06631059591317,-53.0606805343297,fc:07:d7:85:dd:5d,radio
413,DAVID ANDERSON,Pato Branco,85601000,Brasília,-26.015896533517303,-53.04766004185733,b0:3b:8c:fd:71:06,radio
429,THOMAS DAVIS DVM,Francisco Beltrão,85660000,DAS TORRES,-26.05607726684796,-53.068926554993176,3a:1b:28:2e:82:eb,radio
431,JOSEPH MEYER,Pato Branco,85501000,AMADORI,-26.25333084401845,-52.69355959196333,b0:3b:8c:fd:71:06,radio
432,KAYLEE LEWIS,Dois Vizinhos,85601000,Jardim da Colina,-26.04222562467859,-53.10846892752527,14:a9:4f:77:f1:65,radio
443,STEPHANIE HALL,Dois Vizinhos,85660000,Esperança,-26.07741924288464,-53.04142586998351,40:95:bc:a8:c0:56,radio
445,RODNEY BLACK,Dois Vizinhos,85601000,Sagrada Família,-26.033960405791987,-53.09425052849301,40:95:bc:a8:c0:56,radio
446,CLINTON FRYE,Francisco Beltrão,85601000,BAIRRO AGUA BRANCA,-26.10267965634665,-53.0495938719496,0c:94:1d:cc:e7:a3,radio
458,CHARLES SHAW,Dois Vizinhos,85660000,Jardim da Colina,-26.07220572009226,-53.07395707179301,38:9c:3d:4b:d3:ff,radio
459,ANDREW DENNIS,Francisco Beltrão,85660000,DAS TORRES,-26.083157375465447,-53.06949931490836,3a:1b:28:2e:82:eb,radio
466,KEVIN CAMPOS,Francisco Beltrão,85660000,ALTO DA COLINA,-26.0910000420096,-53.03490993494059,0c:94:1d:cc:e7:a3,radio
471,KAYLA MORGAN,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.08939061529228,-53.04192796507051,0c:94:1d:cc:e7:a3,radio
473,MATTHEW NEWTON,Dois Vizinhos,85660000,Sagrada Família,-26.069837190240925,-53.06046889828557,d8:ee:56:11:32:9c,radio
476,ETHAN MORAN,Francisco Beltrão,85660000,SANTA LUZIA,-26.038294266349144,-53.043187566614655,fc:4e:95:59:92:36,radio
477,TONI LOPEZ,Francisco Beltrão,85601000,COMUNIDADE RIO ERVAL – KM 15,-26.121347256899853,-53.03100732219096,52:3b:ef:21:34:57,radio
488,MICHAEL GREEN,Pato Branco,85601000,Aeroporto,-26.02046415353936,-53.0451156810624,b0:3b:8c:fd:71:06,radio
493,BRAD HUNT,Francisco Beltrão,85660000,JARDIM MARCANTE,-26.05184840357152,-53.03264372864572,52:3b:ef:21:34:57,radio
502,COREY MCFARLAND,Pato Branco,85660000,Morumbi,-26.07843777570857,-53.065908721095205,fc:07:d7:85:dd:5d,radio
508,SCOTT THOMPSON,Pato Branco,85660000,Cristo Rei,-26.050117959277515,-53.0498466677429,e4:c5:4b:e2:ee:b7,radio
518,PAUL ALEXANDER,Francisco Beltrão,85660000,SANTO ANTONIO,-26.08009188192969,-53.03672335819279,32:09:c4:a3:12:0a,radio
526,KEVIN ANDERSON,Francisco Beltrão,85601000,COMUNIDADE DIVISOR,-26.02673245277964,-53.08265225565523,0c:94:1d:cc:e7:a3,radio
529,ZACHARY SANCHEZ,Pato Branco,85601000,Menino Deus,-26.02572462921863,-53.045761019992575,b0:3b:8c:fd:71:06,radio
534,BRENDA LARSON,Dois Vizinhos,85660000,São Francisco Xavier,-26.091011092688067,-53.06648375677884,5c:c4:f2:ed:b1:d5,radio
536,THOMAS GARCIA,Francisco Beltrão,85601000,BAIRRO SAO CRISTOVAO,-26.0482071589907,-53.06320059585008,0c:94:1d:cc:e7:a3,radio
540,RANDY REYNOLDS,Francisco Beltrão,85601000,COMUNIDADE SECCAO PROGRESSO,-26.050483735850875,-52.98334483412268,0c:94:1d:cc:e7:a3,radio
541,DANIEL BROOKS,Francisco Beltrão,85660000,DA LUZ,-26.07068911142616,-53.04261028489763,52:3b:ef:21:34:57,radio
544,NICHOLAS HERNANDEZ,Francisco Beltrão,85660000,CENTRO,-26.08270625170562,-53.04376020200077,0c:94:1d:cc:e7:a3,radio
546,GREG MCKENZIE,Francisco Beltrão,85501000,Bairro Vila Nova,-26.22335083463149,-52.66092339128258,0c:94:1d:cc:e7:a3,radio
552,MATTHEW HALL,Pato Branco,85660000,Bonatto,-26.05262161374449,-53.0540583873896,7e:ce:41:0b:d7:5a,radio
557,BRITTANY KING,Francisco Beltrão,85660000,SANTO ANTONIO,-26.081211095597897,-53.041441496949794,3a:1b:28:2e:82:eb,radio
561,LAURA GORDON,Dois Vizinhos,85660000,Jardim da Colina,-26.084275074926257,-53.06709852123471,ea:7f:5a:9d:5e:87,radio
562,MATTHEW LONG,Francisco Beltrão,85660000,DA LUZ,-26.050267464451323,-53.04661746846877,8c:8a:18:f7:11:08,radio
567,JONATHAN MARTIN,Francisco Beltrão,85601000,COMUNIDADE ASSENTAMENTO MISSOES,-26.01087502594447,-53.0790992762994,52:3b:ef:21:34:57,radio
579,CHARLES PATEL DDS,Francisco Beltrão,85660000,DA LUZ,-26.06172101438103,-53.07407839383314,8c:8a:18:f7:11:08,radio
580,CATHERINE CALLAHAN,Dois Vizinhos,85660000,São Francisco Xavier,-26.25186589477697,-52.67304930749208,38:9c:3d:4b:d3:ff,radio
588,JODY CARTER DDS,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.06485366024356,-53.05055122563804,fc:4e:95:59:92:36,radio
591,ERIC JACKSON,Dois Vizinhos,85660000,Centro Norte,-26.090982584353245,-53.07397522657816,38:9c:3d:4b:d3:ff,radio
594,CONNOR CURRY,Francisco Beltrão,85601000,COMUNIDADE SECCAO SAO MIGUEL,-26.0457660319617,-53.10934279273169,fc:4e:95:59:92:36,radio
607,JESSICA ALLEN,Pato Branco,85601000,Novo Horizonte,-26.11660183866896,-53.08389913308999,b0:3b:8c:fd:71:06,radio
609,TRACEY TURNER,Francisco Beltrão,85601000,COMUNIDADE LINHA FORMIGA,-26.122169922504607,-53.084396330560246,8c:8a:18:f7:11:08,radio
620,AMBER CURTIS,Pato Branco,85660000,São Vicente,-26.04980714522637,-53.068711188929015,b4:b5:4b:94:69:99,radio
622,BELINDA LAWSON,Francisco Beltrão,85601000,COMUNIDADE SAO FRANCISCO DE ASSIS,-26.042134819808435,-53.09391352809181,52:3b:ef:21:34:57,radio
626,TRACY STEPHENS,Dois Vizinhos,85601000,Esperança,-26.11346806366605,-53.0095520086946,40:95:bc:a8:c0:56,radio
627,CHRISTOPHER WHITE,Francisco Beltrão,85660000,SANTO ANTONIO,-26.069786398448866,-53.057617510641954,52:3b:ef:21:34:57,radio
628,NORMA LYONS,Francisco Beltrão,85660000,CENTRO,-26.08937370451121,-53.07123759217208,52:3b:ef:21:34:57,radio
631,REBECCA JENSEN,Francisco Beltrão,85601000,COMUNIDADE RIO GUARAPUAVA,-26.10500526109075,-53.06884644393164,fc:4e:95:59:92:36,radio
633,ANDREA SANCHEZ,Pato Branco,85660000,Dall Ross,-26.05361819124872,-53.03523273097157,5e:43:51:d5:ac:c2,radio
644,ANTHONY ARROYO,Pato Branco,85660000,Bela Vista,-26.080617673443182,-53.05079264273616,e4:c5:4b:e2:ee:b7,radio
651,KELLY SIMMONS,Dois Vizinhos,85601000,Jardim da Colina,-26.009046740597867,-53.07460639992732,40:95:bc:a8:c0:56,radio
661,ZACHARY SMITH,Dois Vizinhos,85601000,Jardim da Colina,-26.11324196338555,-53.0828821900209,ea:7f:5a:9d:5e:87,radio
663,MADISON BOWMAN,Dois Vizinhos,85601000,Centro,-26.06893469116877,-53.039654532363166,38:9c:3d:4b:d3:ff,radio
666,SARA CUNNINGHAM,Dois Vizinhos,85660000,São Francisco de Assis,-26.04286823245573,-53.03435558004065,5c:c4:f2:ed:b1:d5,radio
669,STEVEN GOMEZ,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.064845591249387,-53.061117502028125,8c:8a:18:f7:11:08,radio
680,BRITTANY MARTIN,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.06332522431739,-53.04630291309921,52:3b:ef:21:34:57,radio
684,JENNIFER WARD,Francisco Beltrão,85601000,COMUNIDADE RIO ERVAL – KM 15,-26.12803174880512,-53.02632996892415,3a:1b:28:2e:82:eb,radio
691,ERIC DIXON,Dois Vizinhos,85601000,Centro Norte,-26.08601843759701,-53.001149887443546,5c:c4:f2:ed:b1:d5,radio
703,BRYAN LYNCH,Dois Vizinhos,85660000,Centro Norte,-26.068652865644943,-53.04542098844232,d8:ee:56:11:32:9c,radio
704,JOHN JOHNSON,Francisco Beltrão,85660000,ESPERANCA,-26.03271895359295,-53.03414676494052,0c:94:1d:cc:e7:a3,radio
706,KIMBERLY RODRIGUEZ,Pato Branco,85660000,La Salle,-26.036205384688543,-53.04626320856202,5e:43:51:d5:ac:c2,radio
712,KATHRYN NEAL,Dois Vizinhos,85660000,Santa Luzia,-26.088793436949008,-53.057993733106194,ea:7f:5a:9d:5e:87,radio
725,STEVEN SMITH,Pato Branco,85660000,Pagnoncelli,-26.03948777266747,-53.05451007430414,5e:43:51:d5:ac:c2,radio
726,SONIA CHRISTIAN,Dois Vizinhos,85601000,Das Torres,-26.053182482824926,-53.06203008499558,d8:ee:56:11:32:9c,radio
728,KELLY OLIVER,Dois Vizinhos,85660000,Centro Sul,-26.040304554273888,-53.07179846652053,d8:ee:56:11:32:9c,radio
735,RONNIE KELLY,Dois Vizinhos,85660000,Centro,-26.07591585119886,-53.03293321810242,d8:ee:56:11:32:9c,radio
737,JENNIFER CROSS DDS,Francisco Beltrão,85601000,BAIRRO AGUA BRANCA,-26.114112249904228,-53.05017677789086,8c:8a:18:f7:11:08,radio
739,BRYAN NELSON,Pato Branco,85601000,Anchieta,-26.09529649767316,-53.100488766801895,b0:3b:8c:fd:71:06,radio
742,ALLEN PEREZ,Dois Vizinhos,85601000,Das Torres,-26.01485971491616,-53.07786212986375,14:a9:4f:77:f1:65,radio
747,MELISSA STEVENS,Francisco Beltrão,85660000,SAO JUDAS TADEU,-26.089513717398788,-53.04738937324257,3a:1b:28:2e:82:eb,radio
748,JOHN NUNEZ,Francisco Beltrão,85660000,SAO FRANCISCO XAVIER,-26.04082571193711,-53.04365241959926,8c:8a:18:f7:11:08,radio
755,MARGARET ARNOLD,Francisco Beltrão,85601000,COMUNIDADE SECCAO SAO MIGUEL,-26.03620075387009,-53.11045659096649,32:09:c4:a3:12:0a,radio
764,CARRIE BROWN,Pato Branco,85601000,Sudoeste,-26.126619468800133,-53.02876276840249,b0:3b:8c:fd:71:06,radio
768,JENNIFER FREEMAN,Francisco Beltrão,85660000,ESPERANCA,-26.0375896866694,-53.05803440849628,3a:1b:28:2e:82:eb,radio
770,RANDY HINES,Dois Vizinhos,85660000,Jardim da Colina,-26.085609623846,-53.046865304756665,38:9c:3d:4b:d3:ff,radio
776,WILLIAM HILL,Dois Vizinhos,85601000,Centro Sul,-26.026049090547343,-53.04805929016412,40:95:bc:a8:c0:56,radio
786,PATRICIA JOHNSON,Pato Branco,85601000,Vila Esperança,-26.11161763992105,-53.05254058903129,fc:07:d7:85:dd:5d,radio
794,CHARLES BRADLEY,Francisco Beltrão,85601000,COMUNIDADE SAO JOAO,-26.093238538902675,-53.10827184336126,32:09:c4:a3:12:0a,radio
799,EDWARD BERNARD,Dois Vizinhos,85601000,Centro Sul,-26.074933149505224,-53.04873235294933,38:9c:3d:4b:d3:ff,radio
800,NICOLE DAVIS,Pato Branco,85601000,Sambugaro,-26.08635851160356,-53.11048077218966,fc:07:d7:85:dd:5d,radio
815,JOEL GONZALEZ,Pato Branco,85660000,Santa Terezinha,-26.039232023144788,-53.04164170842832,7e:ce:41:0b:d7:5a,radio
822,CHRISTOPHER WOOD,Pato Branco,85601000,Pagnoncelli,-26.129444632176668,-53.02864065641697,fc:07:d7:85:dd:5d,radio
823,SHANNON DONALDSON,Francisco Beltrão,85660000,ESPERANCA,-26.06759778885199,-53.049305589014494,52:3b:ef:21:34:57,radio
829,MICHAEL BELL,Dois Vizinhos,85660000,Jardim da Colina,-26.0576493031568,-53.04033237140134,d8:ee:56:11:32:9c,radio
837,SHERRI TAYLOR,Dois Vizinhos,85601000,Alto da Colina,-26.12082251533487,-53.05701660677184,40:95:bc:a8:c0:56,radio
840,LISA COX,Dois Vizinhos,85601000,Sagrada Família,-26.121725481250515,-53.026049411818704,ea:7f:5a:9d:5e:87,radio
841,TERESA WILSON,Dois Vizinhos,85601000,Da Luz,-26.123967704574405,-53.084762827693176,ea:7f:5a:9d:5e:87,radio
844,KAYLA COFFEY,Dois Vizinhos,85660000,Jardim Marcante,-26.081664003737675,-53.06938513579236,38:9c:3d:4b:d3:ff,radio
848,LINDSEY BERRY,Dois Vizinhos,85601000,Santo Antônio,-26.04815346501442,-53.04074352076631,40:95:bc:a8:c0:56,radio
854,MIA VASQUEZ,Dois Vizinhos,85601000,Esperança,-26.060399273546263,-53.06203512755219,d8:ee:56:11:32:9c,radio
855,MEGAN BEASLEY,Dois Vizinhos,85660000,Centro Norte,-26.06449418529004,-53.05621813785989,ea:7f:5a:9d:5e:87,radio
856,JEFFREY ANDREWS DDS,Pato Branco,85660000,Pinheirinho,-26.05237846194365,-53.06750615681048,fc:07:d7:85:dd:5d,radio
863,JESSICA CUNNINGHAM,Pato Branco,85601000,Amadori,-26.04404939290765,-53.10488134739665,7e:ce:41:0b:d7:5a,radio
866,NICHOLAS WILLIAMSON,Pato Branco,85660000,Sambugaro,-26.02887884678312,-53.05889292714088,fc:07:d7:85:dd:5d,radio
871,THERESA SPARKS,Francisco Beltrão,85601000,COMUNIDADE RIO ERVAL – KM 15,-26.130079514457297,-53.027401603453946,8c:8a:18:f7:11:08,radio
878,STEPHANIE HARRIS,Pato Branco,85601000,Brasília,-26.01476820541496,-53.07893809680678,e4:c5:4b:e2:ee:b7,radio
891,ERIC LAWSON,Pato Branco,85660000,Cristo Rei,-26.082394263138635,-53.07462659726684,7e:ce:41:0b:d7:5a,radio
894,DANIELLE BRADY,Francisco Beltrão,85660000,SAO FRANCISCO XAVIER,-26.030383619604528,-53.06080340099961,32:09:c4:a3:12:0a,radio
895,EDGAR HUGHES,Dois Vizinhos,85601000,Santa Luzia,-26.051970622534952,-53.115234948948455,40:95:bc:a8:c0:56,radio
897,CHRISTINE FAULKNER,Pato Branco,85601000,Anchieta,-26.11608129532372,-53.05112007893496,e4:c5:4b:e2:ee:b7,radio
903,DAVID BRADFORD,Francisco Beltrão,85601000,COMUNIDADE RIO DO MATO,-26.11576197222505,-53.05490093890179,8c:8a:18:f7:11:08,radio
909,DANA TAYLOR,Pato Branco,85660000,Aeroporto,-26.03038671588736,-53.05234930489977,7e:ce:41:0b:d7:5a,radio
910,JASON BROWN,Dois Vizinhos,85660000,São Francisco de Assis,-26.033877049124,-53.050136505802456,38:9c:3d:4b:d3:ff,radio
919,MICHAEL JACKSON,Pato Branco,85601000,Bancários,-26.07873504667276,-53.00084768231917,5e:43:51:d5:ac:c2,radio
933,GEORGE RAMIREZ DDS,Francisco Beltrão,85601000,BAIRRO SAO CRISTOVAO,-26.053129543294308,-53.04582549384862,52:3b:ef:21:34:57,radio
940,JAMES HERRERA,Francisco Beltrão,85660000,SAGRADA FAMILIA,-26.04187522024855,-53.05927363923407,fc:4e:95:59:92:36,radio
947,CARLOS MCGRATH,Francisco Beltrão,85601000,COMUNIDADE RIO ERVAL – KM 15,-26.126303708995312,-53.02877002267929,32:09:c4:a3:12:0a,radio
949,CAROLYN DAVIS,Pato Branco,85501000,AMADORI,-26.2104471749979,-52.6512034499785,5e:43:51:d5:ac:c2,radio
955,GWENDOLYN HAMMOND,Pato Branco,85660000,Pinheiros,-26.072063221150383,-53.06026171571668,e4:c5:4b:e2:ee:b7,radio
957,DAVID GAY,Pato Branco,85660000,Jardim Primavera,-26.03401715390325,-53.06333514009697,fc:07:d7:85:dd:5d,radio
964,BRANDON MARTIN,Dois Vizinhos,85660000,Centro,-26.0469004855478,-53.03978330509159,38:9c:3d:4b:d3:ff,radio
974,CHRISTIAN SAWYER,Pato Branco,85660000,Bortot,-26.050405530509387,-53.07053402800624,fc:07:d7:85:dd:5d,radio
977,SHELLEY BROWN,Dois Vizinhos,85660000,Vitória,-26.079455610512127,-53.033347719837,5c:c4:f2:ed:b1:d5,radio
982,TIFFANY MORGAN,Pato Branco,85660000,Pagnoncelli,-26.030231403214096,-53.03417981465636,7e:ce:41:0b:d7:5a,radio
996,SCOTT BERGER,Francisco Beltrão,85601000,COMUNIDADE JACUTINGA,-26.02602564338404,-53.04701955673101,fc:4e:95:59:92:36,radio
