cliente_codigo,cliente_nome,cliente_apelido,cliente_rg_ie,cliente_cpf_cnpj,cliente_tipo_pessoa,cliente_data_nascimento,cliente_end_cidade,cliente_end_cep,cliente_end_rua,cliente_end_numero,cliente_end_bairro,cliente_end_complemento,cliente_end_latitude,cliente_end_longitude,cliente_telefones,ponto_emails,cliente_data_cadastro,cliente_parceiro,contrato_carteira,cliente_data_adesao,cliente_data_recisao,contrato_fidelidade,contrato_valor_adesao,contrato_valor_rescisão,contrato_valor_mensal,contrato_dia_vencimento,contrato_observacoes,contrato_faturavel,contrato_tipo_faturamento,contrato_nfe2x_tipo_lancamento,contrato_end_cidade,contrato_end_cep,contrato_end_rua,contrato_end_numero,contrato_end_bairro,contrato_end_complemento,contrato_end_latitude,contrato_end_longitude,ponto_plano,ponto_nome,ponto_ppp_usuario,ponto_end_cidade,ponto_end_cep,ponto_end_rua,ponto_end_numero,ponto_end_bairro,ponto_end_complemento,ponto_end_latitude,ponto_end_longitude,ponto_data_ativacao,ponto_mac,ponto_tecnologia,ponto_serial
12,Susan Jenkins,Susan,99999989-8,999.999.990-50,PF,10/05/1964,Pato Branco,85501000,Parque Pietro Fogaça,49,Alvorada,APTO,-26.22863541907329,-52.708041782182974,(46) 99999-99988,susan.jenkins@emailexemplo.com,25/05/2023,n,GalaxPay,31/05/2023,,,189.9,700,299.9,10,,s,auto,auto,,,,,,,,,plano_300mb,APTO,susan.jenkins@meuprovedor.com.br,Dois Vizinhos,85660000,Fazenda Casa Grande,88,Da Luz,Casa,-25.732350984677527,-53.05583358558587,05/06/2023,fc:a4:1c:76:9c:21,FTTH,FTTH551K26U6
13,Colleen Walker,Colleen,99999988-6,999.999.989-17,PF,18/10/1993,Dois Vizinhos,85660000,Avenida Maria Laura Rezende,81,Centro Sul,APTO,-25.7584557879066,-53.056123178388965,(46) 99999-99987,colleen.walker@emailexemplo.com,05/01/2023,n,Boleto Próprio,15/01/2023,10/07/2023,,300.0,400,150.0,18,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_100mb,APTO,colleen.walker@meuprovedor.com.br,Dois Vizinhos,85660000,Avenida Maria Laura Rezende,81,Centro Sul,APTO,-25.758545685694504,-53.055146073013645,19/01/2023,48:c2:8a:f3:1c:33,FTTH,FTTH650N97O7
14,Samantha Williams,Samantha,99999987-4,999.999.988-36,PF,04/08/1959,Francisco Beltrão,85601000,Loteamento Thomas Moreira,51,Bairro São Francisco,APTO,-26.0662679504688,-53.073971064315394,(46) 99999-99986,samantha.williams@emailexemplo.com,13/02/2023,n,Santander,18/02/2023,,,349.9,500,200.0,6,,s,auto,auto,Francisco Beltrão,85601000.0,Loteamento Thomas Moreira,51.0,Bairro São Francisco,APTO,-26.067807882526505,-53.04494861687136,plano_150mb,APTO,samantha.williams@meuprovedor.com.br,Francisco Beltrão,85601000,Loteamento Thomas Moreira,51,Bairro São Francisco,APTO,-26.064937916133115,-53.07478790337252,23/02/2023,80:7e:64:de:54:08,FTTH,FTTH857Q54O8
15,Joseph Davis,Joseph,99999986-2,999.999.987-55,PF,29/06/1990,Dois Vizinhos,85660000,Colônia Dias,21,São Francisco Xavier,APTO,-25.757023989223697,-53.050445051405,(46) 99999-99985,joseph.davis@emailexemplo.com,13/04/2023,n,EFÍ,21/04/2023,,,300.0,400,150.0,16,,s,auto,auto,Dois Vizinhos,85660000.0,Colônia Dias,21.0,São Francisco Xavier,APTO,-25.76391384461247,-53.06736706073989,plano_100mb,APTO,joseph.davis@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Dias,21,São Francisco Xavier,APTO,-25.751163459505516,-53.05330625240229,26/04/2023,48:3a:fa:a1:68:21,FTTH,FTTH628J53Y9
16,John Brown,John,99999985-0,999.999.986-74,PF,27/11/1956,Francisco Beltrão,85601000,Lagoa de Cavalcanti,48,Comunidade Vila Rural Gralha Azul,APTO,-26.08614331875089,-52.99857805175564,(46) 99999-99984,john.brown@emailexemplo.com,19/03/2023,n,Boleto Próprio,19/03/2023,,,349.9,500,200.0,20,,s,auto,auto,,,,,,,,,plano_150mb,APTO,john.brown@meuprovedor.com.br,Francisco Beltrão,85601000,Lagoa de Cavalcanti,48,Comunidade Vila Rural Gralha Azul,APTO,-26.08053485517332,-53.00027861055733,26/03/2023,da:54:30:d5:91:a3,RADIO,
17,Matthew Butler,Matthew,99999984-9,999.999.985-93,PF,04/08/2004,Pato Branco,85501000,Fazenda de Monteiro,818,Bortot,APTO,-26.21208934021976,-52.67798923458096,(46) 99999-99983,matthew.butler@emailexemplo.com,11/04/2023,n,EFÍ,11/04/2023,,18.0,189.9,700,299.9,25,,n,manual,outro,Pato Branco,85501000.0,Fazenda de Monteiro,818.0,Bortot,APTO,-26.227990030488662,-52.65179175107609,plano_300mb,APTO,matthew.butler@meuprovedor.com.br,Pato Branco,85501000,Fazenda de Monteiro,818,Bortot,APTO,-26.21020398365088,-52.67754285814219,14/04/2023,20:fc:cf:79:60:12,FTTH,FTTH007E08A0
18,Jeremy Wilkinson,Jeremy,99999983-7,999.999.984-02,PF,26/01/1970,Pato Branco,85501000,Praia de Marques,84,São Francisco,Casa,-26.196691738954684,-52.663205655019176,(46) 99999-99982,jeremy.wilkinson@emailexemplo.com,04/06/2023,n,EFÍ,12/06/2023,,,189.9,700,299.9,21,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_300mb,Casa,jeremy.wilkinson@meuprovedor.com.br,Pato Branco,85501000,Praia de Marques,84,São Francisco,Casa,-26.196387932485155,-52.66465718498889,14/06/2023,24:56:c2:78:25:3a,FTTH,FTTH883T31E5
19,Tiffany Johnson,Tiffany,99999982-5,999.999.983-21,PF,25/09/1982,Dois Vizinhos,85660000,Praia de Sousa,61,São Francisco Xavier,Casa,-25.756367793155977,-53.05403819238194,(46) 99999-99981,tiffany.johnson@emailexemplo.com,19/02/2023,n,GalaxPay,22/02/2023,,,300.0,400,150.0,14,,s,auto,auto,,,,,,,,,plano_100mb,Casa,tiffany.johnson@meuprovedor.com.br,Dois Vizinhos,85660000,Praia de Sousa,61,São Francisco Xavier,Casa,-25.75559811269012,-53.05082824391584,28/02/2023,fc:a0:81:48:6a:eb,FTTH,FTTH563J98M5
20,Donald Thompson,Donald,737.08762-01,00.099.999/9982-09,PJ,03/12/1993,Pato Branco,85501000,Condomínio Luiz Henrique da Rosa,8,Menino Deus,Loja,-26.26073500111264,-52.69796321780569,(46) 99999-99980,donald.thompson@emailexemplo.com,23/02/2023,n,EFÍ,23/02/2023,,,189.9,700,299.9,7,,s,auto,auto,Pato Branco,85501000.0,Condomínio Luiz Henrique da Rosa,8.0,Menino Deus,Loja,-26.26073500111264,-52.69796321780569,plano_300mb,Loja,donald.thompson@meuprovedor.com.br,Pato Branco,85660000,Trevo de Sampaio,555,Santa Terezinha,Casa,-26.234876411438595,-52.680019105034674,01/03/2023,f2:b9:4b:31:43:bd,FTTH,FTTH618C39L3
21,Dawn Jackson,Dawn,99999981-3,999.999.982-40,PF,19/05/1984,Dois Vizinhos,85660000,Ladeira Pimenta,74,Alto da Colina,Casa,-25.74416769879113,-53.05752294996139,(46) 99999-99979,dawn.jackson@emailexemplo.com,12/01/2023,n,Santander,20/01/2023,,,300.0,400,150.0,10,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,Dois Vizinhos,85660000.0,Ladeira Pimenta,74.0,Alto da Colina,Casa,-25.72755124221998,-53.05014967820113,plano_100mb,Casa,dawn.jackson@meuprovedor.com.br,Dois Vizinhos,85660000,Ladeira Pimenta,74,Alto da Colina,Casa,-25.739107429504035,-53.06101211769264,25/01/2023,da:45:23:59:d7:b7,FTTH,FTTH396V64F7
22,Kelly Richard,Kelly,99999980-1,999.999.981-60,PF,08/07/1954,Francisco Beltrão,85601000,Feira da Rosa,827,Bairro Miniguaçu,Casa,-26.07413715647528,-53.03178692628312,(46) 99999-99978,kelly.richard@emailexemplo.com,05/01/2023,n,EFÍ,14/01/2023,,,349.9,500,200.0,19,"Cliente precisa de velocidade constante, sem quedas.",s,auto,auto,Francisco Beltrão,85601000.0,Feira da Rosa,827.0,Bairro Miniguaçu,Casa,-26.09079117842625,-53.06094393190982,plano_150mb,Casa,kelly.richard@meuprovedor.com.br,Francisco Beltrão,85601000,Feira da Rosa,827,Bairro Miniguaçu,Casa,-26.0641716232484,-53.03148136324512,19/01/2023,28:ce:c8:c3:c7:70,FTTH,FTTH195R27I7
23,Luis Deleon,Luis,99999979-5,999.999.980-89,PF,17/05/1980,Pato Branco,85501000,Morro Freitas,92,Bortot,APTO,-26.214343547638933,-52.67919886332503,(46) 99999-99977,luis.deleon@emailexemplo.com,18/06/2023,n,Santander,26/06/2023,,,189.9,700,299.9,9,,s,auto,auto,,,,,,,,,plano_300mb,APTO,luis.deleon@meuprovedor.com.br,Pato Branco,85501000,Morro Freitas,92,Bortot,APTO,-26.208300821655925,-52.67859314964792,02/07/2023,f8:bf:bc:2e:85:3e,FTTH,FTTH460N40C4
24,Cheryl Conrad,Cheryl,99999978-3,999.999.979-45,PF,11/10/1980,Francisco Beltrão,85601000,Vereda de da Rosa,21,Bairro Kennedy,APTO,-26.09010091348889,-53.04667475929482,(46) 99999-99976,cheryl.conrad@emailexemplo.com,12/04/2023,n,Santander,20/04/2023,,,349.9,500,200.0,23,,s,auto,auto,,,,,,,,,plano_150mb,APTO,cheryl.conrad@meuprovedor.com.br,Francisco Beltrão,85660000,Via de Ribeiro,91,Vitória,APTO,-26.03926925775486,-53.04661474681663,23/04/2023,30:38:07:5b:1f:4c,FTTH,FTTH209J31R2
25,Joseph Martinez,Joseph,99999977-1,999.999.978-64,PF,26/11/1958,Pato Branco,85501000,Sítio Apollo da Rosa,1,Santa Terezinha,Casa,-26.23965399747793,-52.677362716600506,(46) 99999-99975,joseph.martinez@emailexemplo.com,19/02/2023,n,Boleto Próprio,24/02/2023,,,189.9,700,299.9,8,,s,auto,auto,,,,,,,,,plano_300mb,Casa,joseph.martinez@meuprovedor.com.br,Pato Branco,85501000,Sítio Apollo da Rosa,1,Santa Terezinha,Casa,-26.242193663311248,-52.67732326022765,03/03/2023,50:f3:da:7c:19:6f,FTTH,FTTH587X11L6
26,Jesse Schmidt,Jesse,99999975-8,999.999.977-83,PF,01/11/1954,Francisco Beltrão,85601000,Recanto Luiz Fernando Moraes,91,Bairro Marrecas,Casa,-26.075438579665988,-53.07239950034594,(46) 99999-99974,jesse.schmidt@emailexemplo.com,12/06/2023,n,Santander,14/06/2023,,,349.9,500,200.0,24,Cliente quer ajuda 24/7 para resolver problemas de conexão.,s,auto,auto,Francisco Beltrão,85601000.0,Recanto Luiz Fernando Moraes,91.0,Bairro Marrecas,Casa,-26.06024407051921,-53.04787216119129,plano_150mb,Casa,jesse.schmidt@meuprovedor.com.br,Francisco Beltrão,85601000,Recanto Luiz Fernando Moraes,91,Bairro Marrecas,Casa,-26.082405888302542,-53.0745351988572,17/06/2023,48:06:22:92:68:13,FTTH,FTTH425J17Z2
27,Jessica Hernandez,Jessica,99999974-6,999.999.976-00,PF,21/01/1967,Pato Branco,85501000,Trecho Câmara,65,Vila Isabel,APTO,-26.213093317010863,-52.66578271241952,(46) 99999-99973,jessica.hernandez@emailexemplo.com,06/01/2023,n,Santander,06/01/2023,,,189.9,700,299.9,9,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_300mb,APTO,jessica.hernandez@meuprovedor.com.br,Pato Branco,85501000,Trecho Câmara,65,Vila Isabel,APTO,-26.212361720869374,-52.66135858750457,11/01/2023,b4:e8:c9:ba:4e:20,FTTH,FTTH434I70O2
28,Kristen Scott,Kristen,99999973-4,999.999.975-11,PF,02/05/2002,Francisco Beltrão,85601000,Jardim Camargo,5,Bairro Marrecas,APTO,-26.081018101702025,-53.07409354715645,(46) 99999-99972,kristen.scott@emailexemplo.com,13/01/2023,n,Boleto Próprio,17/01/2023,,,349.9,500,200.0,21,,s,auto,auto,,,,,,,,,plano_150mb,APTO,kristen.scott@meuprovedor.com.br,Francisco Beltrão,85601000,Jardim Camargo,5,Bairro Marrecas,APTO,-26.0784820319262,-53.07191385054519,22/01/2023,d4:ff:12:2e:3c:8a,FTTH,FTTH707V67W5
29,Mary Le,Mary,99999972-2,999.999.974-30,PF,10/09/2003,Dois Vizinhos,85660000,Praia Léo Mendonça,33,Vitória,APTO,-25.74391728515311,-53.07964936088722,(46) 99999-99971,mary.le@emailexemplo.com,09/03/2023,n,GalaxPay,17/03/2023,,,300.0,400,150.0,19,Cliente quer segunda via do contrato via e-mail.,s,auto,auto,,,,,,,,,plano_100mb,APTO,mary.le@meuprovedor.com.br,Dois Vizinhos,85660000,Praia Léo Mendonça,33,Vitória,APTO,-25.74124201733698,-53.075591078692455,24/03/2023,94:26:f7:ef:14:3f,FTTH,FTTH578S16Q4
30,Sean Johnson,Sean,99999971-0,999.999.973-50,PF,17/09/1968,Pato Branco,85501000,Via Martins,259,Anchieta,APTO,-26.22327792044403,-52.686732851867134,(46) 99999-99970,sean.johnson@emailexemplo.com,02/01/2023,n,Boleto Próprio,11/01/2023,,,189.9,700,299.9,23,,s,auto,auto,,,,,,,,,plano_300mb,APTO,sean.johnson@meuprovedor.com.br,Pato Branco,85501000,Via Martins,259,Anchieta,APTO,-26.225862685915807,-52.68687623538297,15/01/2023,ac:a3:c2:1c:35:d1,FTTH,FTTH088J54X4
31,Beth Gonzalez,Beth,99999970-9,999.999.972-79,PF,01/10/1964,Francisco Beltrão,85601000,Esplanada Yan Duarte,7,Comunidade Rio Guarapuava,APTO,-26.107523005444868,-53.06882615667328,(46) 99999-99969,beth.gonzalez@emailexemplo.com,06/06/2023,n,Santander,07/06/2023,,,349.9,500,200.0,5,,s,auto,auto,,,,,,,,,plano_150mb,APTO,beth.gonzalez@meuprovedor.com.br,Francisco Beltrão,85601000,Esplanada Yan Duarte,7,Comunidade Rio Guarapuava,APTO,-26.10664604908549,-53.06624885257054,10/06/2023,da:e0:bc:4f:c3:db,RADIO,
32,Samantha Sandoval,Samantha,99999969-2,999.999.971-98,PF,09/09/1980,Pato Branco,85501000,Parque Davi Lucca Siqueira,40,Pinheiros,Casa,-26.253415037065547,-52.69629600566085,(46) 99999-99968,samantha.sandoval@emailexemplo.com,25/02/2023,n,Boleto Próprio,04/03/2023,,,189.9,700,299.9,11,,s,auto,auto,,,,,,,,,plano_300mb,Casa,samantha.sandoval@meuprovedor.com.br,Francisco Beltrão,85660000,Rodovia de Peixoto,58,Jardim Marcante,APTO,-26.050759406129384,-53.066082062371954,09/03/2023,40:59:12:56:ff:cc,FTTH,FTTH056K96Q6
33,Lauren Pena,Lauren,99999968-0,999.999.970-07,PF,24/03/1972,Pato Branco,85501000,Colônia Benicio da Conceição,51,Aeroporto,APTO,-26.22245864645787,-52.693949996298095,(46) 99999-99967,lauren.pena@emailexemplo.com,02/02/2023,n,EFÍ,09/02/2023,,,189.9,700,299.9,16,Cliente quer ajuda 24/7 para resolver problemas de conexão.,s,auto,auto,,,,,,,,,plano_300mb,APTO,lauren.pena@meuprovedor.com.br,Pato Branco,85501000,Colônia Benicio da Conceição,51,Aeroporto,APTO,-26.212316393543883,-52.69420711774375,16/02/2023,2a:4e:8f:c9:4d:86,FTTH,FTTH542I42F1
34,Troy Johnson,Troy,99999967-9,999.999.969-73,PF,26/02/1996,Dois Vizinhos,85660000,Colônia Theo Melo,1,Alto da Colina,APTO,-25.745365258078188,-53.0602650338754,(46) 99999-99966,troy.johnson@emailexemplo.com,05/05/2023,n,EFÍ,12/05/2023,,,300.0,400,150.0,7,,s,auto,auto,,,,,,,,,plano_100mb,APTO,troy.johnson@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Theo Melo,1,Alto da Colina,APTO,-25.74889705472129,-53.06188925915398,15/05/2023,9e:8d:14:a5:cb:5a,FTTH,FTTH731O63G9
35,Erica Castillo,Erica,99999966-7,999.999.968-92,PF,16/02/1959,Francisco Beltrão,85601000,Loteamento de da Mata,686,Bairro Júpter,Casa,-26.03890488929788,-53.04843589015744,(46) 99999-99965,erica.castillo@emailexemplo.com,19/01/2023,n,Santander,27/01/2023,,,349.9,500,200.0,22,,s,auto,auto,,,,,,,,,plano_150mb,Casa,erica.castillo@meuprovedor.com.br,Francisco Beltrão,85601000,Loteamento de da Mata,686,Bairro Júpter,Casa,-26.044954096309358,-53.04991695346886,30/01/2023,b6:20:99:f7:f5:f5,FTTH,FTTH415C98F6
36,Gabrielle Jackson,Gabrielle,99999965-5,999.999.967-01,PF,10/05/1961,Dois Vizinhos,85660000,Avenida Siqueira,9,Santo Antônio,APTO,-25.76536889286292,-53.057218434756685,(46) 99999-99964,gabrielle.jackson@emailexemplo.com,02/05/2023,n,Santander,02/05/2023,,0.0,300.0,400,150.0,9,Cliente quer segunda via do contrato via e-mail.,n,manual,outro,,,,,,,,,plano_100mb,APTO,gabrielle.jackson@meuprovedor.com.br,Dois Vizinhos,85660000,Avenida Siqueira,9,Santo Antônio,APTO,-25.768360465095498,-53.05846398335802,09/05/2023,1e:45:99:18:5e:5f,FTTH,FTTH119Z49I3
37,Justin Kelley,Justin,99999964-3,999.999.966-20,PF,29/09/1990,Pato Branco,85501000,Favela Siqueira,788,Sudoeste,APTO,-26.25244739962257,-52.675714195235344,(46) 99999-99963,justin.kelley@emailexemplo.com,16/03/2023,n,Boleto Próprio,17/03/2023,,,189.9,700,299.9,11,,s,auto,auto,,,,,,,,,plano_300mb,APTO,justin.kelley@meuprovedor.com.br,Pato Branco,85501000,Favela Siqueira,788,Sudoeste,APTO,-26.252688290375016,-52.67624302482155,22/03/2023,20:35:29:85:79:51,FTTH,FTTH602Q79H6
38,Melanie Robinson,Melanie,99999963-1,999.999.965-40,PF,07/07/1973,Dois Vizinhos,85660000,Rodovia Cecilia da Mata,37,Jardim Marcante,APTO,-25.73658995626682,-53.06841073651554,(46) 99999-99962,melanie.robinson@emailexemplo.com,18/05/2023,n,Santander,28/05/2023,,,300.0,400,150.0,21,Cliente pensa em adicionar TV ou telefone depois.,s,auto,auto,,,,,,,,,plano_100mb,APTO,melanie.robinson@meuprovedor.com.br,Dois Vizinhos,85660000,Setor de Caldeira,14,Santo Antônio,APTO,-25.76718853371522,-53.05621956119922,03/06/2023,ea:3c:e4:60:24:b1,FTTH,FTTH524G96D1
39,Gina Rivera,Gina,99999961-8,999.999.964-69,PF,10/10/1992,Francisco Beltrão,85601000,Loteamento Isis Barros,7,Comunidade Rio do Mato,APTO,-26.05681878327951,-53.06973613066479,(46) 99999-99961,gina.rivera@emailexemplo.com,09/03/2023,n,Santander,16/03/2023,,,349.9,500,200.0,23,,s,auto,auto,Francisco Beltrão,85601000.0,Loteamento Isis Barros,7.0,Comunidade Rio do Mato,APTO,-26.05681878327951,-53.06973613066479,plano_150mb,APTO,gina.rivera@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Davi Lucas Melo,808,Centro Norte,Casa,-25.73760142677969,-53.05627754904613,18/03/2023,f0:09:39:1f:89:e3,FTTH,FTTH862A16H8
40,Melissa Moses,Melissa,99999960-6,999.999.963-88,PF,20/11/1954,Dois Vizinhos,85660000,Fazenda de Rocha,676,Santa Luzia,APTO,-25.75777551153097,-53.07605349582277,(46) 99999-99960,melissa.moses@emailexemplo.com,15/01/2023,n,GalaxPay,16/01/2023,,,300.0,400,150.0,7,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_100mb,APTO,melissa.moses@meuprovedor.com.br,Dois Vizinhos,85660000,Fazenda de Rocha,676,Santa Luzia,APTO,-25.76028057257956,-53.07908157431573,20/01/2023,2a:dd:a4:80:e8:8d,FTTH,FTTH834D46P1
