cliente_codigo,cliente_nome,cliente_apelido,cliente_rg_ie,cliente_cpf_cnpj,cliente_tipo_pessoa,cliente_data_nascimento,cliente_end_cidade,cliente_end_cep,cliente_end_rua,cliente_end_numero,cliente_end_bairro,cliente_end_complemento,cliente_end_latitude,cliente_end_longitude,cliente_telefones,ponto_emails,cliente_data_cadastro,cliente_parceiro,contrato_carteira,cliente_data_adesao,cliente_data_recisao,contrato_fidelidade,contrato_valor_adesao,contrato_valor_rescisão,contrato_valor_mensal,contrato_dia_vencimento,contrato_observacoes,contrato_faturavel,contrato_tipo_faturamento,contrato_nfe2x_tipo_lancamento,contrato_end_cidade,contrato_end_cep,contrato_end_rua,contrato_end_numero,contrato_end_bairro,contrato_end_complemento,contrato_end_latitude,contrato_end_longitude,ponto_plano,ponto_nome,ponto_ppp_usuario,ponto_end_cidade,ponto_end_cep,ponto_end_rua,ponto_end_numero,ponto_end_bairro,ponto_end_complemento,ponto_end_latitude,ponto_end_longitude,ponto_data_ativacao,ponto_mac,ponto_tecnologia,ponto_serial
11,Jonathan Montgomery,Jonathan,99999990-4,999.999.991-31,PF,24/12/1961,Dois Vizinhos,85660000,Trevo Casa Grande,40,Centro,APTO,-25.756583710476225,-53.04303721531283,(46) 99999-99989,jonathan.montgomery@emailexemplo.com,07/05/2023,n,Boleto Próprio,15/05/2023,,,300,400,150,12,,s,auto,auto,,,,,,,,,plano_100mb,APTO,jonathan.montgomery@meuprovedor.com.br,Dois Vizinhos,85660000,Estrada Oliver da Conceição,97,Jardim da Colina,APTO,-25.76785913108606,-53.04812165720165,21/05/2023,ae:73:13:8c:51:a5,FTTH,FTTH601S62D8
12,Susan Jenkins,Susan,99999989-8,999.999.990-50,PF,10/05/1964,Pato Branco,85501000,Parque Pietro Fogaça,49,Alvorada,APTO,-26.228635419073292,-52.708041782182974,(46) 99999-99988,susan.jenkins@emailexemplo.com,25/05/2023,n,GalaxPay,31/05/2023,,,189.90,700,299.90,10,,s,auto,auto,,,,,,,,,plano_300mb,APTO,susan.jenkins@meuprovedor.com.br,Dois Vizinhos,85660000,Fazenda Casa Grande,88,Da Luz,Casa,-25.76521001354119,-53.05905524899596,05/06/2023,fc:a4:1c:76:9c:21,FTTH,FTTH407B63A5
13,Colleen Walker,Colleen,99999988-6,999.999.989-17,PF,18/10/1993,Dois Vizinhos,85660000,Avenida Maria Laura Rezende,81,Centro Sul,APTO,-25.739662745359368,-53.069012237157914,(46) 99999-99987,colleen.walker@emailexemplo.com,05/01/2023,n,Boleto Próprio,15/01/2023,10/07/2023,,300,400,150,18,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_100mb,APTO,colleen.walker@meuprovedor.com.br,Dois Vizinhos,85660000,Avenida Maria Laura Rezende,81,Centro Sul,APTO,-25.739662745359368,-53.069012237157914,19/01/2023,48:c2:8a:f3:1c:33,FTTH,FTTH233R64Q4
14,Samantha Williams,Samantha,99999987-4,999.999.988-36,PF,04/08/1959,Francisco Beltrão,85601000,Loteamento Thomas Moreira,51,Bairro São Francisco,APTO,-26.067807882526502,-53.04494861687136,(46) 99999-99986,samantha.williams@emailexemplo.com,13/02/2023,n,Santander,18/02/2023,,,349.90,500,200,6,,s,auto,auto,Francisco Beltrão,85601000,Loteamento Thomas Moreira,51,Bairro São Francisco,APTO,-26.067807882526502,-53.04494861687136,plano_150mb,APTO,samantha.williams@meuprovedor.com.br,Francisco Beltrão,85601000,Loteamento Thomas Moreira,51,Bairro São Francisco,APTO,-26.067807882526502,-53.04494861687136,23/02/2023,80:7e:64:de:54:08,RADIO,
15,Joseph Davis,Joseph,99999986-2,999.999.987-55,PF,29/06/1990,Dois Vizinhos,85660000,Colônia Dias,21,São Francisco Xavier,APTO,-25.76391384461247,-53.06736706073989,(46) 99999-99985,joseph.davis@emailexemplo.com,13/04/2023,n,EFÍ,21/04/2023,,,300,400,150,16,,s,auto,auto,Dois Vizinhos,85660000,Colônia Dias,21,São Francisco Xavier,APTO,-25.76391384461247,-53.06736706073989,plano_100mb,APTO,joseph.davis@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Dias,21,São Francisco Xavier,APTO,-25.76391384461247,-53.06736706073989,26/04/2023,48:3a:fa:a1:68:21,FTTH,FTTH558H33X5
16,John Brown,John,99999985-0,999.999.986-74,PF,27/11/1956,Francisco Beltrão,85601000,Lagoa de Cavalcanti,48,Comunidade Vila Rural Gralha Azul,APTO,-26.0394588226477,-53.033852340041946,(46) 99999-99984,john.brown@emailexemplo.com,19/03/2023,n,Boleto Próprio,19/03/2023,,,349.90,500,200,20,,s,auto,auto,,,,,,,,,plano_150mb,APTO,john.brown@meuprovedor.com.br,Francisco Beltrão,85601000,Lagoa de Cavalcanti,48,Comunidade Vila Rural Gralha Azul,APTO,-26.0394588226477,-53.033852340041946,26/03/2023,da:54:30:d5:91:a3,FTTH,FTTH870H64U8
17,Matthew Butler,Matthew,99999984-9,999.999.985-93,PF,04/08/2004,Pato Branco,85501000,Fazenda de Monteiro,818,Bortot,APTO,-26.227990030488662,-52.65179175107609,(46) 99999-99983,matthew.butler@emailexemplo.com,11/04/2023,n,EFÍ,11/04/2023,,18,189.90,700,299.90,25,,n,manual,outro,Pato Branco,85501000,Fazenda de Monteiro,818,Bortot,APTO,-26.227990030488662,-52.65179175107609,plano_300mb,APTO,matthew.butler@meuprovedor.com.br,Pato Branco,85501000,Fazenda de Monteiro,818,Bortot,APTO,-26.227990030488662,-52.65179175107609,14/04/2023,20:fc:cf:79:60:12,RADIO,
18,Jeremy Wilkinson,Jeremy,99999983-7,999.999.984-02,PF,26/01/1970,Pato Branco,85501000,Praia de Marques,84,São Francisco,Casa,-26.22912773966477,-52.69588479734152,(46) 99999-99982,jeremy.wilkinson@emailexemplo.com,04/06/2023,n,EFÍ,12/06/2023,,,189.90,700,299.90,21,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_300mb,Casa,jeremy.wilkinson@meuprovedor.com.br,Pato Branco,85501000,Praia de Marques,84,São Francisco,Casa,-26.22912773966477,-52.69588479734152,14/06/2023,24:56:c2:78:25:3a,FTTH,FTTH608B45Y6
19,Tiffany Johnson,Tiffany,99999982-5,999.999.983-21,PF,25/09/1982,Dois Vizinhos,85660000,Praia de Sousa,61,São Francisco Xavier,Casa,-25.756943382834834,-53.041597904855436,(46) 99999-99981,tiffany.johnson@emailexemplo.com,19/02/2023,n,GalaxPay,22/02/2023,,,300,400,150,14,,s,auto,auto,,,,,,,,,plano_100mb,Casa,tiffany.johnson@meuprovedor.com.br,Dois Vizinhos,85660000,Praia de Sousa,61,São Francisco Xavier,Casa,-25.756943382834834,-53.041597904855436,28/02/2023,fc:a0:81:48:6a:eb,RADIO,
20,Donald Thompson,Donald,737.08762-01,00.099.999/9982-09,PJ,03/12/1993,Pato Branco,85501000,Condomínio Luiz Henrique da Rosa,8,Menino Deus,Loja,-26.260735001112636,-52.69796321780569,(46) 99999-99980,donald.thompson@emailexemplo.com,23/02/2023,n,EFÍ,23/02/2023,,,189.90,700,299.90,7,,s,auto,auto,Pato Branco,85501000,Condomínio Luiz Henrique da Rosa,8,Menino Deus,Loja,-26.260735001112636,-52.69796321780569,plano_300mb,Loja,donald.thompson@meuprovedor.com.br,Pato Branco,85660000,Trevo de Sampaio,555,Centro Sul,Casa,-26.21539216708953,-52.67786394524074,01/03/2023,f2:b9:4b:31:43:bd,FTTH,FTTH063F62F8
21,Dawn Jackson,Dawn,99999981-3,999.999.982-40,PF,19/05/1984,Dois Vizinhos,85660000,Ladeira Pimenta,74,Alto da Colina,Casa,-25.72755124221998,-53.05014967820113,(46) 99999-99979,dawn.jackson@emailexemplo.com,12/01/2023,n,Santander,20/01/2023,,,300,400,150,10,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,Dois Vizinhos,85660000,Ladeira Pimenta,74,Alto da Colina,Casa,-25.72755124221998,-53.05014967820113,plano_100mb,Casa,dawn.jackson@meuprovedor.com.br,Dois Vizinhos,85660000,Ladeira Pimenta,74,Alto da Colina,Casa,-25.72755124221998,-53.05014967820113,25/01/2023,da:45:23:59:d7:b7,FTTH,FTTH870C45N4
22,Kelly Richard,Kelly,99999980-1,999.999.981-60,PF,08/07/1954,Francisco Beltrão,85601000,Feira da Rosa,827,Bairro Miniguaçu,Casa,-26.09079117842625,-53.06094393190982,(46) 99999-99978,kelly.richard@emailexemplo.com,05/01/2023,n,EFÍ,14/01/2023,,,349.90,500,200,19,"Cliente precisa de velocidade constante, sem quedas.",s,auto,auto,Francisco Beltrão,85601000,Feira da Rosa,827,Bairro Miniguaçu,Casa,-26.09079117842625,-53.06094393190982,plano_150mb,Casa,kelly.richard@meuprovedor.com.br,Francisco Beltrão,85601000,Feira da Rosa,827,Bairro Miniguaçu,Casa,-26.09079117842625,-53.06094393190982,19/01/2023,28:ce:c8:c3:c7:70,RADIO,
23,Luis Deleon,Luis,99999979-5,999.999.980-89,PF,17/05/1980,Pato Branco,85501000,Morro Freitas,92,Bortot,APTO,-26.214352697356563,-52.71725850559899,(46) 99999-99977,luis.deleon@emailexemplo.com,18/06/2023,n,Santander,26/06/2023,,,189.90,700,299.90,9,,s,auto,auto,,,,,,,,,plano_300mb,APTO,luis.deleon@meuprovedor.com.br,Pato Branco,85501000,Morro Freitas,92,Bortot,APTO,-26.214352697356563,-52.71725850559899,02/07/2023,f8:bf:bc:2e:85:3e,FTTH,FTTH700H87W4
24,Cheryl Conrad,Cheryl,99999978-3,999.999.979-45,PF,11/10/1980,Francisco Beltrão,85601000,Vereda de da Rosa,21,Bairro Kennedy,APTO,-26.090100913488886,-53.046674759294824,(46) 99999-99976,cheryl.conrad@emailexemplo.com,12/04/2023,n,Santander,20/04/2023,,,349.90,500,200,23,,s,auto,auto,,,,,,,,,plano_150mb,APTO,cheryl.conrad@meuprovedor.com.br,Francisco Beltrão,85660000,Via de Ribeiro,91,Vitória,APTO,-26.03926925775486,-53.04661474681663,23/04/2023,30:38:07:5b:1f:4c,FTTH,FTTH209J31R2
25,Joseph Martinez,Joseph,99999977-1,999.999.978-64,PF,26/11/1958,Pato Branco,85501000,Sítio Apollo da Rosa,1,Santa Terezinha,Casa,-26.21729516259285,-52.70750726327706,(46) 99999-99975,joseph.martinez@emailexemplo.com,19/02/2023,n,Boleto Próprio,24/02/2023,,,189.90,700,299.90,8,,s,auto,auto,,,,,,,,,plano_300mb,Casa,joseph.martinez@meuprovedor.com.br,Pato Branco,85501000,Sítio Apollo da Rosa,1,Santa Terezinha,Casa,-26.21729516259285,-52.70750726327706,03/03/2023,50:f3:da:7c:19:6f,FTTH,FTTH785W81V6
26,Jesse Schmidt,Jesse,99999975-8,999.999.977-83,PF,01/11/1954,Francisco Beltrão,85601000,Recanto Luiz Fernando Moraes,91,Bairro Marrecas,Casa,-26.060244070519214,-53.04787216119129,(46) 99999-99974,jesse.schmidt@emailexemplo.com,12/06/2023,n,Santander,14/06/2023,,,349.90,500,200,24,Cliente quer ajuda 24/7 para resolver problemas de conexão.,s,auto,auto,Francisco Beltrão,85601000,Recanto Luiz Fernando Moraes,91,Bairro Marrecas,Casa,-26.060244070519214,-53.04787216119129,plano_150mb,Casa,jesse.schmidt@meuprovedor.com.br,Francisco Beltrão,85601000,Recanto Luiz Fernando Moraes,91,Bairro Marrecas,Casa,-26.060244070519214,-53.04787216119129,17/06/2023,48:06:22:92:68:13,FTTH,FTTH425J17Z2
27,Jessica Hernandez,Jessica,99999974-6,999.999.976-00,PF,21/01/1967,Pato Branco,85501000,Trecho Câmara,65,Vila Isabel,APTO,-26.19627208811722,-52.67172487626874,(46) 99999-99973,jessica.hernandez@emailexemplo.com,06/01/2023,n,Santander,06/01/2023,,,189.90,700,299.90,9,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_300mb,APTO,jessica.hernandez@meuprovedor.com.br,Pato Branco,85501000,Trecho Câmara,65,Vila Isabel,APTO,-26.19627208811722,-52.67172487626874,11/01/2023,b4:e8:c9:ba:4e:20,FTTH,FTTH546R01H6
28,Kristen Scott,Kristen,99999973-4,999.999.975-11,PF,02/05/2002,Francisco Beltrão,85601000,Jardim Camargo,5,Bairro Marrecas,APTO,-26.0735742515772,-53.064361846732254,(46) 99999-99972,kristen.scott@emailexemplo.com,13/01/2023,n,Boleto Próprio,17/01/2023,,,349.90,500,200,21,,s,auto,auto,,,,,,,,,plano_150mb,APTO,kristen.scott@meuprovedor.com.br,Francisco Beltrão,85601000,Jardim Camargo,5,Bairro Marrecas,APTO,-26.0735742515772,-53.064361846732254,22/01/2023,d4:ff:12:2e:3c:8a,FTTH,FTTH707V67W5
29,Mary Le,Mary,99999972-2,999.999.974-30,PF,10/09/2003,Dois Vizinhos,85660000,Praia Léo Mendonça,33,Vitória,APTO,-25.73697937347799,-53.05404648328843,(46) 99999-99971,mary.le@emailexemplo.com,09/03/2023,n,GalaxPay,17/03/2023,,,300,400,150,19,Cliente quer segunda via do contrato via e-mail.,s,auto,auto,,,,,,,,,plano_100mb,APTO,mary.le@meuprovedor.com.br,Dois Vizinhos,85660000,Praia Léo Mendonça,33,Vitória,APTO,-25.73697937347799,-53.05404648328843,24/03/2023,94:26:f7:ef:14:3f,FTTH,FTTH163E73S8
30,Sean Johnson,Sean,99999971-0,999.999.973-50,PF,17/09/1968,Pato Branco,85501000,Via Martins,259,Anchieta,APTO,-26.226094776244572,-52.653777963403186,(46) 99999-99970,sean.johnson@emailexemplo.com,02/01/2023,n,Boleto Próprio,11/01/2023,,,189.90,700,299.90,23,,s,auto,auto,,,,,,,,,plano_300mb,APTO,sean.johnson@meuprovedor.com.br,Pato Branco,85501000,Via Martins,259,Anchieta,APTO,-26.226094776244572,-52.653777963403186,15/01/2023,ac:a3:c2:1c:35:d1,FTTH,FTTH013M95O4
31,Beth Gonzalez,Beth,99999970-9,999.999.972-79,PF,01/10/1964,Francisco Beltrão,85601000,Esplanada Yan Duarte,7,Comunidade Rio Guarapuava,APTO,-26.02854442190614,-53.0692212394001,(46) 99999-99969,beth.gonzalez@emailexemplo.com,06/06/2023,n,Santander,07/06/2023,,,349.90,500,200,5,,s,auto,auto,,,,,,,,,plano_150mb,APTO,beth.gonzalez@meuprovedor.com.br,Francisco Beltrão,85601000,Esplanada Yan Duarte,7,Comunidade Rio Guarapuava,APTO,-26.02854442190614,-53.0692212394001,10/06/2023,da:e0:bc:4f:c3:db,FTTH,FTTH281B71A0
32,Samantha Sandoval,Samantha,99999969-2,999.999.971-98,PF,09/09/1980,Pato Branco,85501000,Parque Davi Lucca Siqueira,40,Pinheiros,Casa,-26.253415037065547,-52.69629600566085,(46) 99999-99968,samantha.sandoval@emailexemplo.com,25/02/2023,n,Boleto Próprio,04/03/2023,,,189.90,700,299.90,11,,s,auto,auto,,,,,,,,,plano_300mb,Casa,samantha.sandoval@meuprovedor.com.br,Francisco Beltrão,85660000,Rodovia de Peixoto,58,Jardim Marcante,APTO,-26.050759406129384,-53.066082062371954,09/03/2023,40:59:12:56:ff:cc,FTTH,FTTH056K96Q6
33,Lauren Pena,Lauren,99999968-0,999.999.970-07,PF,24/03/1972,Pato Branco,85501000,Colônia Benicio da Conceição,51,Aeroporto,APTO,-26.247182175565193,-52.674757710487775,(46) 99999-99967,lauren.pena@emailexemplo.com,02/02/2023,n,EFÍ,09/02/2023,,,189.90,700,299.90,16,Cliente quer ajuda 24/7 para resolver problemas de conexão.,s,auto,auto,,,,,,,,,plano_300mb,APTO,lauren.pena@meuprovedor.com.br,Pato Branco,85501000,Colônia Benicio da Conceição,51,Aeroporto,APTO,-26.247182175565193,-52.674757710487775,16/02/2023,2a:4e:8f:c9:4d:86,RADIO,
34,Troy Johnson,Troy,99999967-9,999.999.969-73,PF,26/02/1996,Dois Vizinhos,85660000,Colônia Theo Melo,1,Alto da Colina,APTO,-25.730735685233142,-53.051654495906945,(46) 99999-99966,troy.johnson@emailexemplo.com,05/05/2023,n,EFÍ,12/05/2023,,,300,400,150,7,,s,auto,auto,,,,,,,,,plano_100mb,APTO,troy.johnson@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Theo Melo,1,Alto da Colina,APTO,-25.730735685233142,-53.051654495906945,15/05/2023,9e:8d:14:a5:cb:5a,FTTH,FTTH245X69E5
35,Erica Castillo,Erica,99999966-7,999.999.968-92,PF,16/02/1959,Francisco Beltrão,85601000,Loteamento de da Mata,686,Bairro Júpter,Casa,-26.06727638782194,-53.032676179218996,(46) 99999-99965,erica.castillo@emailexemplo.com,19/01/2023,n,Santander,27/01/2023,,,349.90,500,200,22,,s,auto,auto,,,,,,,,,plano_150mb,Casa,erica.castillo@meuprovedor.com.br,Francisco Beltrão,85601000,Loteamento de da Mata,686,Bairro Júpter,Casa,-26.06727638782194,-53.032676179218996,30/01/2023,b6:20:99:f7:f5:f5,RADIO,
36,Gabrielle Jackson,Gabrielle,99999965-5,999.999.967-01,PF,10/05/1961,Dois Vizinhos,85660000,Avenida Siqueira,9,Santo Antônio,APTO,-25.735957461775637,-53.0727176484023,(46) 99999-99964,gabrielle.jackson@emailexemplo.com,02/05/2023,n,Santander,02/05/2023,,0,300,400,150,9,Cliente quer segunda via do contrato via e-mail.,n,manual,outro,,,,,,,,,plano_100mb,APTO,gabrielle.jackson@meuprovedor.com.br,Dois Vizinhos,85660000,Avenida Siqueira,9,Santo Antônio,APTO,-25.735957461775637,-53.0727176484023,09/05/2023,1e:45:99:18:5e:5f,FTTH,FTTH482I10B6
37,Justin Kelley,Justin,99999964-3,999.999.966-20,PF,29/09/1990,Pato Branco,85501000,Favela Siqueira,788,Sudoeste,APTO,-26.220679707256842,-52.65580485735938,(46) 99999-99963,justin.kelley@emailexemplo.com,16/03/2023,n,Boleto Próprio,17/03/2023,,,189.90,700,299.90,11,,s,auto,auto,,,,,,,,,plano_300mb,APTO,justin.kelley@meuprovedor.com.br,Pato Branco,85501000,Favela Siqueira,788,Sudoeste,APTO,-26.220679707256842,-52.65580485735938,22/03/2023,20:35:29:85:79:51,FTTH,FTTH196L74B8
38,Melanie Robinson,Melanie,99999963-1,999.999.965-40,PF,07/07/1973,Dois Vizinhos,85660000,Rodovia Cecilia da Mata,37,Jardim Marcante,APTO,-25.73658995626682,-53.06841073651554,(46) 99999-99962,melanie.robinson@emailexemplo.com,18/05/2023,n,Santander,28/05/2023,,,300,400,150,21,Cliente pensa em adicionar TV ou telefone depois.,s,auto,auto,,,,,,,,,plano_100mb,APTO,melanie.robinson@meuprovedor.com.br,Dois Vizinhos,85660000,Setor de Caldeira,14,Santo Antônio,APTO,-25.73639294812342,-53.08981139492148,03/06/2023,ea:3c:e4:60:24:b1,FTTH,FTTH896T66K6
39,Gina Rivera,Gina,99999961-8,999.999.964-69,PF,10/10/1992,Francisco Beltrão,85601000,Loteamento Isis Barros,7,Comunidade Rio do Mato,APTO,-26.05681878327951,-53.06973613066479,(46) 99999-99961,gina.rivera@emailexemplo.com,09/03/2023,n,Santander,16/03/2023,,,349.90,500,200,23,,s,auto,auto,Francisco Beltrão,85601000,Loteamento Isis Barros,7,Comunidade Rio do Mato,APTO,-26.05681878327951,-53.06973613066479,plano_150mb,APTO,gina.rivera@meuprovedor.com.br,Dois Vizinhos,85660000,Colônia Davi Lucas Melo,808,Centro Norte,Casa,-25.74051636408427,-53.08332398210703,18/03/2023,f0:09:39:1f:89:e3,RADIO,
40,Melissa Moses,Melissa,99999960-6,999.999.963-88,PF,20/11/1954,Dois Vizinhos,85660000,Fazenda de Rocha,676,Santa Luzia,APTO,-25.75089905926385,-53.06065753979276,(46) 99999-99960,melissa.moses@emailexemplo.com,15/01/2023,n,GalaxPay,16/01/2023,,,300,400,150,7,Cliente sugere avaliar a qualidade de vez em quando.,s,auto,auto,,,,,,,,,plano_100mb,APTO,melissa.moses@meuprovedor.com.br,Dois Vizinhos,85660000,Fazenda de Rocha,676,Santa Luzia,APTO,-25.75089905926385,-53.06065753979276,20/01/2023,2a:dd:a4:80:e8:8d,FTTH,FTTH397U78J5
