id,nome,Cidade,bairro,latitude,longitude,mac,tipo
"672","ISABELLA GRIMES","Francisco Beltrão","BAIRRO JUPTER","-26.042055610283786","-53.0538096508126","c8:a1:5e:77:72:5d","ftth"
"673","NOAH HART","Francisco Beltrão","BAIRRO JARDIM FLORESTA E ITALIA","-26.04990308048649","-53.04387119250981","08:c2:5f:fb:a5:46","ftth"
"674","LISA COOPER","Francisco Beltrão","BAIRRO CENTRO","-26.083906970479514","-53.0480748413324","7c:72:dc:e3:32:57","ftth"
"679","MICHELLE HERNANDEZ","Francisco Beltrão","BAIRRO NOSSA SENHORA APARECIDA","-26.08238198998556","-53.057763821429646","5a:c3:b8:ef:1a:4f","ftth"
"694","JOSHUA GOODWIN","Francisco Beltrão","BAIRRO CRISTO REI","-26.070927691531008","-53.06896651219939","02:0a:a3:cd:c4:15","ftth"
"707","TAMMY DAVIS","Francisco Beltrão","BAIRRO LUTHER KING","-26.066506419459216","-53.04501216246342","78:d2:ac:a8:b0:5c","ftth"
"719","ALICE JONES","Francisco Beltrão","COMUNIDADE VOLTA GRANDE","-26.01083305302928","-53.05086031706196","32:b7:59:ed:4f:dd","ftth"
"720","MELISSA RODRIGUEZ","Francisco Beltrão","BAIRRO SAO MIGUEL","-26.07162146186717","-53.08001726407434","b0:46:04:7d:41:c7","ftth"
"721","MICHELLE JOHNSON","Francisco Beltrão","BAIRRO INDUSTRIAL","-26.09199013301248","-53.04306193201256","9e:6e:37:ba:49:3c","ftth"
"722","DAVID HOWARD","Francisco Beltrão","BAIRRO PADRE ULRICO","-26.051116628704538","-53.035284325532224","32:83:ef:67:6a:44","ftth"
